"","x"
"43","Thanks to @gregstoll, a team winning a game after trailing by six runs entering top of 9th

https://t.co/YQk5U0jnvU

Entering 2021, thats 12 times in MLB history, out of 6085 games. Or 0.2%

And this game is exactly the value of the Win Expectancy chart: to describe your feelings https://t.co/vcPAy0dxWs"
"44","@NickMigs @clongbaseball Only for pitches down the middle can you swing at 3-0.  Otherwise, the batter is not going to necessarily be able to tell, before the fact, the location of the pitch being close to the edge of the strike zone, and thus, needs to take that pitch."
"45","@clongbaseball Actually, you would be justified in taking on 3-0 100% of the time far more than getting any kind of green light.

https://t.co/5WHp5KZYrS"
"46","The Wild/Blues announcer said ""momentum"" twice in two minutes.  Had to switch to Leafs/Bolts.   I don't like seeing the Leafs winning."
"47","Hall: I am not taking a 0.2 xG shot. I am going to wait for a 0.9 xG shot.

An insane choice, with a decent pass, followed by an amazing pass. https://t.co/C9GBreANrF"
"48","Bunny Larocque https://t.co/JFeKSGhT3s"
"49","Looks like it was a clear fear of the ""4th time's the harm"" effect.

And his career doesn't give us any solace either.

I agree with the argument that you need to trust the bullpen, or you won't be going far.

https://t.co/QYSheV99lM https://t.co/XTDOUB9X8i https://t.co/Fp1wABkSGB"
"50","So I don't get it here.  The 3B has clearly abandoned the attempt.

What made the catcher think that the catcher needed to get out of the way? https://t.co/Wt2JryTKEu https://t.co/fWWGG38BRV"
"51","I missed the announcement in this morning's All Things Ellen newsletter... I gotta do a better job at keeping up https://t.co/vcLA3DPSpF"
"52","@SteveVanSky No, the win value is established in real-time, not retrospectively.

Though a retrospective win value has long been discussed.  cc: @dastudes"
"53","@gregstoll @billjamesonline Yeah, I forgot I did that until you reminded me. There's definitely some exploration to be done there.

And more work can be done with abbreviated games (7 inning games), because obviously the pythag exponent needs to be decreased as a result.

See here:
https://t.co/lFqpvq9GCY"
"54","@gregstoll @billjamesonline https://t.co/HVPQFNMuqf https://t.co/my6ewJC3g9"
"55","@gregstoll @billjamesonline ... should use the square root of runs scored.  That would then establish a linear relationship to each of OBP  and SLG.  And that will let you sum the number appropriately.

I don't remember how much of an effect that ended up making"
"56","@gregstoll @billjamesonline There was some research on that.  I think I did some.  I think what works better than summing runs on a game by game basis is to sum the square root of runs.  

Why?  Because runs is a function of wOBA-squared (or OBPxSLG).  And so, in order to line up OBP and SLG to runs, you..."
"57","@DaveW85 There is no objective point here.  It's all subjective.  So ""considered"" is subjective.  There's no right or wrong answer."
"58","Montreal is of course a fantastic destination, both for tourists and residents.

But if you really needed to go to MSG to watch playoff hockey, being at Le Centre Bell is of no help right now.

If WPA is what you want: great, itll work. Just make sure it's what you actually want."
"59","There's segment of folks out there that wants Grand Slam in a blowout to count for almost nothing. Which of course means a walkoff HBP will count for a tremendous amount.

Once all your little choices add up, suddenly instead of finding yourself in Manhattan, you are in Montreal."
"60","So these are kinds of choices we have to make, when constructing an uber metric.

I like way @billjamesonline says it: you have to make choices along the path, and your final answer will be justified by those choices.  

Which leads to: But is it actually where you wanted to go? https://t.co/LaRfXdvdg9"
"61","Wonderful! https://t.co/ybq4WTCZ1c https://t.co/2xemnoTFjO"
"62","@snowdayfan1 Whatever YOU want WAR to be..."
"63","On July 10, 2021, Mookie Betts hit a grand slam when the game was already at 9-0.  He made it 13-0.

Chances of winning went from 99.9% to 99.99%. In other words, it barely had any effect. And certainly had much less effect than a random HR.

How do you want to count this in WAR?"
"64","Terrific piece by Eno, thoroughly enjoyed it, start to finish. https://t.co/fWdux64Zye"
"65","@JonPgh It was delayed, but search was up a few hours ago, and leaderboard/player pages updated almost an hour ago.

Let me send you a DM to troubleshoot..."
"66","@WendlingMike @AndrewONielsen @MapleLeafs @NHL @MLSELIVE @MLSEPR @Ticketmaster @TMFanSupport @LeafsMaz20 @AccessibleMedia @strombo @Steve_Dangle @KellyHrudey @SNkylebukauskas @tsnjamesduthie @mriles4 @LeafsAlumni @wendelclark17 As a Habs fan, the Montreal Guest Services has been amazing the few times I needed it.  The level of class and professionalism they exhibited is impressive.

Seeing the Leafs counterpart here jump into Twitter threads quickly is wonderful to see.

🇨🇦"
"67","Star Wars Films ranked, Twitter followers

Favorite Film, per 1000

(parenthetical description for non-fans)

Note: if you disagree, you are in the minority.  You aren't wrong necessarily, you just have a higher mountain to climb to explain yourself

#MayThe4th https://t.co/8E2VUbexr9 https://t.co/PvUQitdek6"
"68","@emilymkaplan Please tell me there's at least one woman #EBUG out there.  

And if not, what's the good reason?  (Editor's Note: there is none.)"
"69","@dastudes @baseballsavant It's a bug, we're on it, thanks for bringing this up"
"70","@travisyost @MoneyPuckdotcom @spazznolo You have to ask the question first.  Ask what it is that you actually want.  Then you provide a solution that answers that question.

Ideally, when you present a solution, you include the question."
"71","@dastudes @baseballsavant Hmmm... this doesn't make any sense.  Let me look into it... https://t.co/mTeOyp3GwR"
"72","@ellen_adair In fact, ""thus"" does work!"
"73","And that's Gary Carter as thirdbase.

cc: @ellen_adair https://t.co/RkpTixoS3y"
"74","@spazznolo @travisyost You had a good post, nothing to be sorry about.  We aren't necessarily talking to one person, but rather the thousands of folks listening in.

Totally fine to state what may be obvious to one, but oblivious to another."
"75","@travisyost @spazznolo My point is that there's a handful of us that can appreciate what this is showing.  And the vast majority of casual fans that don't.

This is similar to the ""Catch Probability"" in the NFL.  Most can't really explain what it is in fact doing."
"76","@travisyost So there is some speed+angle implicit in the model, but just in general terms."
"77","@travisyost It also doesn't care what happens after the shot is taken.  It doesn't care how the goalie reacts to the play, or what the goalie did or didn't do.  It also presumes a random ""shot speed"" and ""shot angle"" and everything else (other than it being a slap/wrist/etc shot)."
"78","@travisyost What above model cares about, and only cares about, is: ""How well did Team A cut thru Team B to get a shot off?"" That's it, that's what it does. It ""freezes"" the play exactly, totally, and solely on when the shot is taken. It doesn't care who took the shot, or who the goalie was."
"79","@travisyost Ding,ding,ding"
"80","This completely removes goalie from team. So, best player on Rangers is removed from this model for the chance of the Rangers winning.

It's like removing Hasek from the Sabres and still calling them Sabres. The only reason the Sabres would be in the finals is BECAUSE of Hasek. https://t.co/YPORRE1cwB"
"81","@PeteyDubzzz @JeffBurchie @CodifyBaseball Maddux entered a 3-0 count 643 times.  

Of those, 312 ended on the next pitch:
- 293 walks (of which 153 were IBB)
- 7 basehits
- 12 batted ball outs

(Data incomplete in the early years.)

https://t.co/kdMfRtFJu3"
"82","https://t.co/jSOYCtzGOe https://t.co/fVwRIEat1Y"
"83","Preds should try intimidating the Avs by scoring goals, instead of shoving and cursing like unsupervised children"
"84","Colorado Avalanche very impressive against the Nashville Pylons"
"85","Rangers/Penguins played nearly 2 consecutive games, in under 5 hours

Nothing can match the intensity and tempo of playoff hockey"
"86","🇨🇦 https://t.co/7NNHX1yQgd"
"87","Greinke's barrels rate is at a career best, as is his BABIP.  But his x-stats are pretty poor.  Will be fascinating to see if he happens to be getting balls hit directly to fielders.

https://t.co/80ONGhhJEb https://t.co/BAM7qVNSgG https://t.co/Ux4OlrJn8z"
"88","The chance that anyone knew this fact is zero, even if you are a die-hard @penguins fan.  Unless you are Dick Tarnstrom.

Going back to Mario's rookie season, it was Mario, Jagr, with single seasons of Recchi and Kovalev. https://t.co/SQKByI1E2t"
"89","@JomboyMedia Yankees tradition...

https://t.co/fptbCdwAWP"
"90","@MissTellier They obviously have an impossible job, so even more reason not to make the dubbing the primary source..."
"91","@AaronBaronHill No idea, but I'm sure @tennisabstract would know..."
"92","@EliBenPorat We never had the problem when I lived in Quebec: I'd just watch it on the French channels.

But this is just a terrible choice."
"93","Patrick Roy, in his own voice:

https://t.co/SHIS4D1C2g"
"94","Dubbing in English and drowning out the French voice of Patrick Roy, instead of using English subtitles? https://t.co/HaImkD64r8"
"95","Bilingual interviews are impressive, loved @alannarizzo interviewing Jose Ramirez on @MLBNetwork"
"96","Either Spurgeon thought about this and it's insane.  Or he actually had no thought entering his mind at all, which is also insane.

This is an example of ""reckless disregard"", which should be an auto-ejection in any sport. https://t.co/gl3SOqUC6v"
"97","Canadian Charter of Rights and Freedoms

Section 7 

Everyone has the right to life, liberty and security of the person and the right not to be deprived thereof except in accordance with the principles of fundamental justice.

https://t.co/yfPIiUbqAr"
"98","Based on the responses, it's how the Leafs and Bolts would do, if Random Variation was involved at the time shots were taken, and goalies were league average for both teams."
"99","What does this mean exactly?  The Leafs are up by 5 with 26 seconds to go, and the Bolts win in 8% of the simulations? https://t.co/c1oVDJi2sl https://t.co/mwMGu4Q825"
"100","The goalie has the puck.  

In 2 seconds, he will either
- pass to A
- pass to B
- (somehow) make the save of the day at C https://t.co/xbQ0OykEtq https://t.co/N1kGSsbjfl"
"101","Gretzky is ultimate team player, even when not playing.

He always makes sure to name-check a non-scorer at least once. More than name check, tells great story.  In this amazing episode, it's Lee Fogolin. Who? 99 describes him as heart of early Oilers. He was captain before 99. https://t.co/taZIMrUvYe"
"102","Reds are literally almost off the chart... https://t.co/cynAZ1ypNz"
"103","Happy Birthday! https://t.co/oS2WgHxZPe"
"104","McDavid scores 1 goal on his own

Gretzky would have two pivotal assists on Oilers goals. https://t.co/M113fWPIQX"
"105","Of the 40 or so names on that list, 4 were signed by the Montreal Expos https://t.co/yMINsAKjoK"
"106","- Math is my forte
- I'm adept at Probability &amp; Statistics 
- My degree is in Computer Science
- I've followed sports all my life

I dont know which is more impossible to explain:
- Log loss
- p-values
- Cryptocurrency 
- Wayne Gretzky"
"107","I can't believe there's a parallel universe out there, but that I am actually in it https://t.co/GdpdSnwofg"
"108","And @MoneyPuckdotcom checks in with some overall solid pattern, especially at the bottom.  You like to see the actual results be above 50% for those with the least amount of faith, and here we see a solid 55% showing. https://t.co/R8Mx1OHN95"
"109","@ritter_patrick @jay_jaffe We have the catcher framing numbers.
https://t.co/stTcfq52Ed

We also track batters and pitchers who are at the plate/mound during those frames.  Though note that is based on how our operators set each batter's top/bottom strike zone.  There is no objective top/bottom."
"110","Who is @TopDownHockey ?  Welcome.  They have a strong showing for their top 20%, but their bottom 20% has ""reverse"" effect.  The gap between the two groups is the largest of all the forecasters. https://t.co/J0JUV2MZbF"
"111","@CJTDevil @Neil_Paine I find my methods to be informative and memorable.

That said: You are welcome to do it however you would like!  There's a big saber dance floor.

@HockeySkytte did an amazing job of collecting the data and providing it for everyone."
"112","Like the others, they can just give out forecasts of 50, 60, 70, 80%, as anything else would be false precision."
"113","Also never heard of @morehockeystats.  They have a very strong showing at the top, for their 35% highest win prob.  Indeed, they were at the highest of all of the forecasters.

At the bottom end however, their 40% lowest win prob for a favorite, were the worst of the forecasters. https://t.co/GlgvFGNHdI"
"114","Now, who is @vovaantonovich  ?  First I've heard of these folks.  Their top 15% is better than anyone else by far.  And their top 70% is ahead of everyone as well.

They are kind of all over the place in the middle, suggesting they really only have three types of forecasts. https://t.co/sA16cqV2a6"
"115","Over at 538 with our friend @Neil_Paine shows strong forecasts as well.

But again, we argue for 5 buckets of win prob, nothing more precise than that, provide forecasts in steps of 5% at most. https://t.co/uz7daV4W0q"
"116","We see @EvolvingHockey is pretty good, not as clean as Dom. But again, you can group data that would argue for at most six groups of forecasts with odds offered in steps of 5% probably.

Also interesting bottom 15% in faith would have been better off betting against the favorite. https://t.co/ZbnNFuwvFK"
"117","Top 10%: 79% winning
Next 40%: 69% winning (The two you see there are 70 and 69)
Next 25%: 63% winning
Next 15%: 56% winning
Bottom 10%: 45% winning (In other words, you'd be better off betting against Dom, for the 10% he has the least amount of faith)"
"118","The best/cleanest forecasts seem to come from @domluszczyszyn.  I took all of his forecasts, sorted from highest win prob to lowest for the favorite, into 20 bins (about 65 games per bin).

The y-axis is the actual win%.  We see that there's really five groups: https://t.co/JxUC7y0mFh"
"119","🇨🇦 1 - 0 🇺🇸"
"120","@jimparinella @Tieran711 Given what we see in practice, it's clear there's no real advantage on either side."
"121","This suggests that when a forecaster makes a forecast, they can just choose a number in steps of 3, from 51% to 75%.  In other words, just use one of these:
51
54
57
60
63
66
69
72
75

Anything else is false precision.  And certainly not a number like 74.3%."
"122","Limited to the highest 5% of games with the most faith in their forecast.  As you can see, it's roughly the same kind of range.  This suggests there's a limit to how precise they can get.  The top 5% are about as successful as the next 5%.  And the overall win% is about 75%. https://t.co/hSPFladx1M"
"123","Limited to the highest 10% of games with the most faith in their forecast. https://t.co/2jjQNlKoOy"
"124","@IneffectiveMath @spazznolo @HockeySkytte @EvolvingHockey @domluszczyszyn @HockeyViz I didn't mean to suggest it was necessarily a regression model.  Just that the scale is ""compressed"". The ordinal rankings at the high end look similar to the other top forecasters.

""unregressed"" was a poor choice of words on my part."
"125","Taking the 20% highest forecasted games (so, those that each forecasters had the most faith in), this is how often the favorites actually won.

You want this number to be as high as possible.

Now @HockeySkytte did note that they made a change mid-season. https://t.co/GNMrzqNxAW https://t.co/XKodCFu5cv"
"126","@spazznolo @HockeySkytte @EvolvingHockey @domluszczyszyn @HockeyViz ... the ordinal rankings just as good as Dom and EW, and all three did better than the Implied Odds.  It's just the ""scale"" was off, the amount of regression applied."
"127","@spazznolo @HockeySkytte @EvolvingHockey @domluszczyszyn @HockeyViz Let me put this another way:  If I take the 300 highest win probability games by @HockeyViz , the actual win% comes out to .737.

If I do the same with @domluszczyszyn, I get .740.
With @EvolvingHockey, it's .737.
With Implied Odds, it's .720.

In other words, HockeyViz nailed..."
"128","@spazznolo @HockeySkytte @EvolvingHockey @domluszczyszyn @HockeyViz ... the results look much better. https://t.co/bisz0foqxF"
"129","@spazznolo @HockeySkytte @EvolvingHockey @domluszczyszyn So, weirdly, @HockeyViz has set their highest win prob at just under 70% for any game.  However, given their results, that would seem far too conservative, which is why they didn't end up doing as well in the leaderboard.

Indeed if I ""unregress"" their forecasts to some extent... https://t.co/7oYlADKaCp"
"130","@spazznolo @HockeySkytte @EvolvingHockey @domluszczyszyn I'm assuming the Implied Odds is some betting marketplace.  We see that they did just as well as Dom and the twins.  It is interesting that all of them had a tough time with the forecasts at 55-70%.  This suggests this season the forecasters were conservative in some respects. https://t.co/RGo3h2dBNe"
"131","@spazznolo @HockeySkytte @EvolvingHockey And @domluszczyszyn did as splendid a job as the twins, just a hair better overall. https://t.co/YilRhyxoE6"
"132","@spazznolo @HockeySkytte We see that @EvolvingHockey doesn't have that issue at the top end.  Their 100 highest forecasts were at just over .750, which is exactly how it came in. https://t.co/vtOSC58ka5"
"133","@spazznolo @HockeySkytte Here's how it looks with a rolling average of 100 games.

The 263 games with the highest forecast (min win% of .700, average of .755) came in with a .696 win%.

So I feel comfortable saying that @HockeySkytte should cap their Win% forecast at .700. https://t.co/cFpg9jdyVx"
"134","@spazznolo Looking just at @HockeySkytte, I'd bet setting a cap of 70% or so would likely be the ideal.  

An #AspiringSaberist can take it from here... https://t.co/FXYNQsLVAm"
"135","@spazznolo The easiest way to do this is the brute force method.  Set it at .650, and see how the results look.  Then try it at different levels .660 to .750.

I'd be that somewhere between .650 and .700 is the true max."
"136","@HockeySkytte Whoah, impressive collection, thank you for sharing!"
"137","@HockeySkytte I would bet the average forecast would lie somewhere between the top forecaster and the average one."
"138","By the way @HockeySkytte : how does it look if you take the average forecast on a game by game basis?"
"139","This is a point I keep making every year, that there's a limit to the maximum you should ever forecast a win%.

Do you have this matrix for all the forecasters? https://t.co/GNMrzqNxAW https://t.co/ULAJU1qXGX"
"140","The rule violation here is the batter not being ""attentive to the pitcher"" with 9 seconds left on the pitcher's timer.

In other words: Delay Of Game.

https://t.co/pHtyrYibnw https://t.co/YaIi4sPOUW https://t.co/53OhWL1Syk"
"141","From 2020-present: 

58.4% of the XIPR (or PR of XIPR) scored in top half, 

only 55.8% in bottom half (which explains why the home team has a below .500 record in extra innings)

The run value for the XIPR is 0.57 runs. https://t.co/jiIlrMFVue"
"142","@Filla_Mignon I believe it's 2%"
"143","https://t.co/ZuRSlynHxk"
"144","Literally ONE vote. https://t.co/C94I0xYYPw"
"145","I actually prefer the hexbins over the heatmap.  When the frequency is as low as this, the heatmap is going to try to do a thing it shouldn't do.

Hexbins keep things more factual at this low frequency... https://t.co/2QzbEZbNkA"
"146","Savant has a very powerful app, Illustrator:

https://t.co/UeTE9k4OgK https://t.co/8Niih0Wwei"
"147","Pitcher: I will throw the ball a few inches off the plate, a few inches high.  The batter is going to have 100% confidence it will not hit his head as he crouches into the pitch.  ✅

Pitcher: I will now throw the ball within 3 feet of the third baseman for an easy putout.  ❌ https://t.co/MEpcem0H6n https://t.co/vvMIEBSYBY"
"148","If you apply ""the human factor"" variable, you get this: https://t.co/LkPwMjbrBI https://t.co/UZmZ1XYL2S"
"149","""I've loved baseball ever since Arnold Rothstein fixed the World Series in 1919""
-- H. Roth"
"150","What do you think about The Wave while you are at the park?"
"151","A quarter wants baseball from pre-1994.
A quarter wants baseball from 2016-2021.
Half wants baseball from 1994-2015. https://t.co/96fZBUmwXq"
"152","Whatever the chances of winning is for the Leafs: divide by 2 https://t.co/qPXaAay5hZ"
"153","See chart above:

What is the ideal rate of HR per plate appearance IN YOUR VIEW?"
"154","https://t.co/1u6GVKuONM"
"155","#EBUG poll"
"156","https://t.co/SqXJdiMCUh

What would @AM34 do?"
"157","Gordie Howe, on Marguerite Norris:
https://t.co/3xhtfRkIyo

She was in her 20s. https://t.co/jmDV4jYFyQ"
"158","This is a pretty impressive graphic.  Lots of information packed in such tight quarters, but it doesn't look overwhelming https://t.co/pnZ5GPa8FN"
"159","Our first contender for Sports Graphic of the Year.... https://t.co/AWsKQ1Pbvg"
"160","#EBUG is the greatest sports rule on the planet.

There's probably 60 to 70 of them fir NHL clubs. 

I sure hope there's at least 1 woman in this group. And really, there should be 32."
"161","I saw @edmarinaro trending,  and naturally thought the worst, another departed.

If you thought his legacy was set with Hill Street Blues, you might be wrong... https://t.co/yBr0F40Qlw"
"162","In SQL, we use CASE, and I've had a dozen when needed. 

Nothing wrong with that. https://t.co/uDnnlYPhVP"
"163","@Baseball_Namiki @_Ben_Clemens That's what you want right?

Swing at pitches that would otherwise be called strikes 99% of the time.

Lay off pitches that will be called balls 99% of the time.

The tough part is The Shadow Zone."
"164","Blog Post: Statcast: Three reasons for positional adjustments - Reason 3 https://t.co/MA01XDJQaJ"
"165","Question @ChelseaParlett : should fans get a partial refund for this game? https://t.co/ESNXzhoVfs"
"166","""I hate losing!  I hate losing more than I love winning. There's a difference.""
-- Aaron Sorkin | Steve Zaillian
Thru Brad Pitt 
As Billy Beane https://t.co/JKeCDUklwv"
"167","I would have guessed results to be:
50,30,15,5 https://t.co/TBrHaUcC8N"
"168","@ChelseaParlett Ha, my kid just texted me that his next math class is cancelled altogether, because it's the last day of the semester.

If all the classes adopted that logic, every course's last class should be cancelled.

And then the schedule would eventually implode upon itself!"
"169","@DaveProbably Yup, you can use SEARCH to do that.

We do have it on our todo to show it on the player pages, but splits of splits are problematic."
"170","@StarsAndScrubsB @_Ben_Clemens Excellent question for #AspiringSaberist

This is the purpose that we have those charts, to see if there is an underlying untapped talent"
"171","Also note pitchers are totally avoiding pitching to Soto, hoping he chases.  And he doesn't."
"172","Probably the hitter with the best-strike zone judgement is Juan Soto.

Here you can see he is much better than league average in taking pitches he should be taking.

And he does that while still swinging at league average rate in heart.  Very impressive.

https://t.co/UI0TfpTldE https://t.co/hTVliYhEcC"
"173","Excellent work from @_Ben_Clemens in using the strike zone regions.

You can see on his player card how McNeil swings far more than league average in the Heart, and has yet to swing at a pitch in the Waste region.

https://t.co/A17FPbvb8G https://t.co/6MSjhC3cek https://t.co/4p4kYLvquT"
"174","The easiest way to eliminate fighting is to incentivize hockey players to play hockey.

I'd favor 4 skaters aside thru regulation.  Whatever ""issues"" you think this would create, we'll find a solution in 2 minutes. https://t.co/kAeYYVXldK"
"175","@blcartwright @pgeerkens @pobguy @theaceofspaeder @Bbl_Astrophyscs I would *highly* recommend, at a minimum, limiting data to launch angles 25-30 as Alan does it, or 24-32 as I do it.

Including 16-24 and 32-40 is an incredible potential to skew data.

After you do that, there's a couple of other things to take care of.  But first things first."
"176","@Light_Saberist Nope"
"177","@Bryan_or_Mitch I said at most... I'd guess 3%"
"178","As you can see...
while the distances on balls hit 16+ degrees of launch are down about 5 feet from all 2021 games
when we limit it to the coldest games of 2021 (to match the current 2022 temperature), the difference is 2 feet.
 
Some combos have more drop, others none at all."
"179","#Statcast Impact of Temperature on Distance
 
Data represents DIFFERENCE in distances on batted balls, 2022 minus 2021
 
Binned in groups of 5 mph, 8 deg. ""Total"" is simple avg
 
Top chart: all 2021 games
 
Bottom chart: 30% coldest games in each park (matches current 2022 temp) https://t.co/NbZeBCXhsP"
"180","How many players can you name who were selected in the first round from the last baseball draft?"
"181","@Broloccini Right, 10% at most. 3% is probably right."
"182","What % of fans could name me 5 baseball players drafted in the 1st round last year?  I'd think 10% at most. https://t.co/HNq9IUL2jx"
"183","@tjmaccarone @ChelseaParlett Haha, like a ""bye"" in football..."
